"id","session","session_year","combine_sub_code","offered_to_name","co_emp_id","emp_dept","assign_by","status","created_at","updated_at"
"9","Monsoon","2024-2025","CEC501,NCEC503"," ","1198","cve","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"10","Monsoon","2024-2025","CEC503,NCEC501"," ","1167","cve","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"11","Monsoon","2024-2025","CEC504,NCEC502"," ","1054","cve","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"12","Monsoon","2024-2025","CED502,NCED504"," ","1291","cve","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"70","Monsoon","2024-2025","CHC501,NCHC501"," ","1058","ce","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"71","Monsoon","2024-2025","CHC502,NCHC502"," ","1006","ce","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"72","Monsoon","2024-2025","CHC503,NCHC503"," ","1430","ce","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"7","Monsoon","2024-2025","CSC501,NCSC501"," ","783","cse","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"6","Monsoon","2024-2025","CSC504,NCSC502 "," ","818","cse","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"154","Monsoon","2024-2025","CSC506,NCSC505"," ","783","cse","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"158","Monsoon","2024-2025","CSC507,NCSC504"," ","818","cse","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"3","Monsoon","2024-2025","CSD501,NCSD512 "," ","914","cse","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"2","Monsoon","2024-2025","CSD509,NCSD505 "," ","1069","cse","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"4","Monsoon","2024-2025","CSD511,NCSD522 "," ","1218","cse","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"8","Monsoon","2024-2025","CSO504,NCSD519"," ","919","cse","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"5","Monsoon","2024-2025","CSO505,NCSD513"," ","914","cse","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"1","Monsoon","2024-2025","CYC516,NCYD526","Dr Akash Kaithal","1695","ccb","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"150","Monsoon","2024-2025","CYD536,NCYD527"," ","106","ccb","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"14","Monsoon","2024-2025","ECC501,NECC505"," ","963","ece","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"13","Monsoon","2024-2025","ECD542,NECD521"," ","828","ece","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"43","Monsoon","2024-2025","EEC502,NEEC514"," ","981","ee","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"49","Monsoon","2024-2025","EEC504,NEEC501"," ","276","ee","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"38","Monsoon","2024-2025","EEC505,NEEC503"," ","844","ee","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"44","Monsoon","2024-2025","EEC509,NEEC515"," ","1169","ee","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"40","Monsoon","2024-2025","EED516,NEED502"," ","1061","ee","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"114","Monsoon","2024-2025","ESC501,NESC501"," ","898","ese","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"107","Monsoon","2024-2025","ESC504,NESC503"," ","838","ese","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"113","Monsoon","2024-2025","ESC509,NESC502"," ","1062","ese","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"108","Monsoon","2024-2025","ESD405,NESD404"," ","1412","ese","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"115","Monsoon","2024-2025","ESD502,NESD504"," ","277","ese","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"116","Monsoon","2024-2025","ESD503,NESD501"," ","883","ese","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"109","Monsoon","2024-2025","ESD504,NESD505"," ","944","ese","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"111","Monsoon","2024-2025","ESD511,NESD506"," ","1362","ese","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"117","Monsoon","2024-2025","ESD512,NESD502"," ","1265","ese","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"110","Monsoon","2024-2025","ESO401,NESO401"," ","1538","ese","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"112","Monsoon","2024-2025","ESO405,NESO402 "," ","1362","ese","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"53","Monsoon","2024-2025","FMC506,NFMC522"," ","846","fme","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"54","Monsoon","2024-2025","FMC509,NFMD505"," ","1229","fme","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"143","Monsoon","2024-2025","GLC501,NGLC501"," ","1012","agl","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"132","Monsoon","2024-2025","GLC502,NGLC502"," ","887","agl","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"140","Monsoon","2024-2025","GLC503,NGLC503"," ","848","agl","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"142","Monsoon","2024-2025","GLC504,NGLC514"," ","861","agl","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"144","Monsoon","2024-2025","GLC506,NGLC505"," ","1012","agl","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"141","Monsoon","2024-2025","GLC507,NGLC506"," ","1250","agl","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"133","Monsoon","2024-2025","GLC511,NGLC504"," ","1276","agl","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"136","Monsoon","2024-2025","GLC519,NGLC509"," ","816","agl","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"139","Monsoon","2024-2025","GLC520,NGLC510"," ","1258","agl","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"148","Monsoon","2024-2025","GLC552,NGLC512"," ","1187","agl","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"138","Monsoon","2024-2025","GLC553,NGLC513"," ","164","agl","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"149","Monsoon","2024-2025","GLD521,NGLD504"," ","1033","agl","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"135","Monsoon","2024-2025","GLD522,NGLD501"," ","1258","agl","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"145","Monsoon","2024-2025","GLD576,NGLD502"," ","902","agl","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"147","Monsoon","2024-2025","GLD591,NGLD503"," ","1032","agl","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"134","Monsoon","2024-2025","GLO523,NGLC511"," ","1056","agl","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"137","Monsoon","2024-2025","GLO532,NGLD505"," ","164","agl","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"119","Monsoon","2024-2025","GPC504,NGPC516"," ","1188","agp","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"120","Monsoon","2024-2025","GPC507,NGPC518"," ","1435","agp","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"118","Monsoon","2024-2025","GPC532,NGPD506"," ","1009","agp","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"128","Monsoon","2024-2025","GPD501,NGPC532"," ","832","agp","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"125","Monsoon","2024-2025","GPD503,NGPD503"," ","1446","agp","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"33","Monsoon","2024-2025","HSD507,NHSD501"," ","1003","hss","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"34","Monsoon","2024-2025","HSD559,NHSD502"," ","805","hss","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"22","Monsoon","2024-2025","MCC502,NMCC515"," ","778","mc","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"24","Monsoon","2024-2025","MCC532,NMCC502"," ","827","mc","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"31","Monsoon","2024-2025","MCC534,NMCC503"," ","1591","mc","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"25","Monsoon","2024-2025","MCC537,NMCC505"," ","1557","mc","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"20","Monsoon","2024-2025","MCD531,NMCD501"," ","911","mc","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"27","Monsoon","2024-2025","MCD533,NMCD503"," ","920","mc","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"26","Monsoon","2024-2025","MCD541,NMCD510"," ","884","mc","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"100","Monsoon","2024-2025","MEC502,NMEC513"," ","1380","mech","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"96","Monsoon","2024-2025","MEC507,NMEC514"," ","1285","mech","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"99","Monsoon","2024-2025","MEC514,NMEC501"," ","1104","mech","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
"92","Monsoon","2024-2025","MEC591,NMEC596"," ","1191","mech","936","1","2024-11-26 13:08:06","2024-11-26 13:08:06"
