Course Code,Degree
GPE202,126
HSO404,116
MSO301,112
MSO404,109
ESO401,105
HSD507,102
MSO402,97
ESE201,97
MCO403,93
MEE201,93
PEE201,92
PEO404,89
MCO401,88
MCC505,88
MSO403,86
MND405,84
ESD405,83
CSE201,83
MNE201,82
FMD401,80
EEO404,79
MED403,79
HSD405,79
CHO404,75
MSO401,75
CSO404,75
HSO309,74
EEE202,73
CED401,72
CSD404,72
HSO403,72
CYD536,71
ESO405,71
GPO501,70
CSC301,70
HSD559,69
ESD401,69
PEO401,68
CHO402,68
CSC302,68
HSD525,67
FME221,66
CSO505,65
CSO504,65
PHO302,64
EED401,63
EED403,63
MND400,63
ECE301,63
ESD511,60
CEO401,60
MNO303,60
FMD461,59
CEO301,59
MED401,59
FMD403,58
ECD405,58
MND406,57
MED549,56
ECD403,54
HSO402,54
CHE201,54
PHE200,54
MED539,53
EEC310,53
MME202,53
CSD511,52
MND401,52
GLE201,52
MED540,51
CED403,50
MND402,49
EEC308,48
EEC309,48
CSO303,48
MNC300,47
PED401,46
PED402,46
CSD411,46
MNO301,45
MNC301,45
CHD408,45
FMO547,45
GLO532,44
PEO402,44
CED531,43
GLO523,42
MCD531,42
CSD520,42
CHD411,41
MEC301,41
MCC502,40
MSC501,40
ESD502,39
FMO545,39
MEC302,39
GPD503,38
PHC515,38
ECD542,37
PEC302,37
FMD402,37
FMD515,37
ECC303,37
ECC302,37
MMC301,37
ESC309,36
MEO534,36
PHD510,35
ECC301,35
MEC303,35
MMO301,35
MMC302,35
PHC514,35
PHO400,35
CSO304,35
CEC301,34
CEC302,34
MCD533,33
PEC303,33
ESC308,33
NMCI101,32
PHD506,32
PEC301,32
CEE201,32
FMC301,30
FMC302,30
ESC310,30
MCC503,30
PHD575,29
CHC301,29
CHC302,29
CHD401,29
MEO302,29
MCD557,29
CHC303,28
PHO300,28
MSC507,27
MSC504,27
CSC203,27
PEO406,26
EEO403,26
MND403,26
MCD541,24
ECO501,24
MCC301,24
MEO579,23
PHD577,23
CSC202,23
GLD522,22
MSD507,22
PHO504,22
EED402,22
GPC501,22
MCO502,22
GLC520,21
GLD591,21
GPC504,21
NCSV101,20
NHSA103,20
NMES101,20
ECO561,20
MND540,19
EEO405,19
GPC517,19
GPC516,19
GLC502,18
GLC503,18
GLC519,18
GPD501,18
MSD533,18
CEO528,18
CHO401,18
GPC502,18
ESD504,17
MEO528,17
MNC504,16
MSD502,16
GLC518,16
MSC526,16
GLC504,15
NMED531,15
CHC202,15
ESC201,15
GLC202,15
PHD501,15
NCES101,14
NESV101,14
GLC511,14
NHSA101,14
MEO591,14
MSD506,14
PHD509,14
CEC201,14
ECO302,14
MEC203,14
MMC203,14
MMO504,14
CEC501,13
NECD509,13
FMC506,13
MEC502,13
NMED532,13
MNC536,13
NMND503,13
CED501,13
ECC201,13
ECD415,13
MMC201,13
MMC202,13
PHC202,13
MSD508,13
CEC504,12
NGPC513,12
MED503,12
MNC539,12
MND500,12
MSC520,12
CHC203,12
ESC202,12
MSD501,12
EEC504,11
ESC504,11
MED513,11
NMED521,11
MNC524,11
MND510,11
MSD513,11
MSD530,11
MSD532,11
NPHI101,11
MCC516,11
NECE101,10
NEEE101,10
ESC501,10
GLC552,10
GLD521,10
NMEC503,10
NMEC507,10
MEC507,10
NMED514,10
NMED525,10
MSD503,10
MSD505,10
MNC202,10
ECC203,10
GPD502,10
CSC201,10
MCC202,10
