Course Code,Lecture Hall,Position,No. of seats
CEC103,LC-I-C1,Right,44
CEC103,LC-I-C2,Left,20
CEC103,LC-I-C2,Single,2
CEC104,NLHC LC-II-C1,Left,15
CEC104,NLHC LC-II-C2,Left,24
CEC104,NLHC LC-II-C3,Left,24
CEC104,NLHC LC-II-C4,Left,3
CEC206,NLHC LC-II-G12,Right,48
CEC206,NLHC LC-II-G13,Left,13
CEC206,NLHC LC-II-G13,Single,3
CEC207,NLHC LC-II-G16,Right,48
CEC207,NLHC LC-II-C1,Right,16
CEC208,NLHC LC-II-G10,Right,48
CEC208,NLHC LC-II-G11,Left,18
CEC209,LC-I-C4,Right,48
CEC209,LC-I-C5,Left,14
CEC210,Mech Dept Gallery 02,Right,17
CEC210,Mech Dept ED Hall Ext,Single,45
CEC211,NLHC LC-II-G11,Right,48
CEC211,NLHC LC-II-G12,Left,16
CEC305,Mech Dept Gallery 01,Right,48
CEC305,Mech Dept Gallery 02,Left,7
CEC306,LC-I-C2,Right,48
CEC306,LC-I-C3,Right,8
CEC307,NLHC LC-II-C7,Right,24
CEC307,NLHC LC-II-C8,Left,23
CEC307,NLHC LC-II-C9,Left,6
CEC308,LC-I-C1,Right,48
CEC308,LC-I-C2,Right,10
CEC402,LC-I-C5,Right,46
CEC402,LC-I-C5,Single,1
CEC402,PET1,Left,8
CEC502,PET1,Right,4
CEC507,PET3,Right,30
CEC507,Mech Dept Gallery 01,Left,3
CEC508,LC-I-C5,Left,2
CEC508,LC-I-C5,Single,2
CEC508,PET1,Left,27
CEC509,NLHC LC-II-C11,Right,23
CEC509,NLHC LC-II-C12,Left,8
CEC510,NLHC LC-II-G10,Right,22
CEC510,NLHC LC-II-G11,Right,7
CEC511,NLHC LC-II-G1,Right,29
CEC512,NLHC LC-II-G15,Right,29
CEC595,NLHC LC-II-G8,Right,29
CEC596,PET1,Right,15
CEC598,NLHC LC-II-G14,Right,28
CEC599,NLHC LC-II-C7,Right,24
CEC599,NLHC LC-II-C8,Right,24
CEC599,NLHC LC-II-C9,Left,16
CEC599,NLHC LC-II-C10,Left,21
CED404,NLHC LC-II-G4,Right,48
CED404,NLHC LC-II-G5,Right,48
CED404,NLHC LC-II-G6,Left,25
CED404,NLHC LC-II-G6,Single,3
CED510,PET3,Left,10
CED510,PET3,Single,3
CED510,Mech Dept Gallery 01,Left,9
CED511,NLHC LC-II-G14,Right,6
CED512,PET2,Right,17
CED517,Mech Dept ED Hall Ext,Single,3
CED533,NLHC LC-II-G3,Left,26
CED533,NLHC LC-II-G3,Single,4
CED533,NLHC LC-II-G4,Left,24
CED542,NLHC LC-II-G2,Right,1
CED542,NLHC LC-II-G3,Left,23
CED542,NLHC LC-II-G3,Single,4
CED542,NLHC LC-II-G4,Left,27
CEE202,NLHC LC-II-G7,Right,48
CEE202,NLHC LC-II-G8,Left,32
CEE202,NLHC LC-II-G8,Single,4
CEE202,NLHC LC-II-G9,Left,17
CEO303,NLHC LC-II-G6,Right,48
CEO303,NLHC LC-II-G7,Left,30
CEO303,NLHC LC-II-G7,Single,4
CEO303,NLHC LC-II-G8,Left,27
CEO525,NLHC LC-II-G12,Right,48
CEO525,NLHC LC-II-G13,Right,26
CES101,NLHC LC-II-G1,Left,48
CES101,NLHC LC-II-G1,Single,4
CES101,NLHC LC-II-G2,Left,48
CES101,NLHC LC-II-G2,Single,4
CES101,NLHC LC-II-G3,Left,48
CES101,NLHC LC-II-G3,Single,4
CES101,NLHC LC-II-G4,Left,48
CES101,NLHC LC-II-G4,Single,4
CES101,NLHC LC-II-G5,Left,48
CES101,NLHC LC-II-G5,Single,4
CES101,NLHC LC-II-G6,Left,48
CES101,NLHC LC-II-G6,Single,4
CES101,NLHC LC-II-G7,Left,48
CES101,NLHC LC-II-G7,Single,4
CES101,NLHC LC-II-G8,Left,48
CES101,NLHC LC-II-G8,Single,4
CES101,NLHC LC-II-G9,Left,48
CES101,NLHC LC-II-G9,Single,4
CES101,NLHC LC-II-G10,Left,48
CES101,NLHC LC-II-G10,Single,4
CES101,NLHC LC-II-G11,Left,34
CHC103,NLHC LC-II-G5,Right,48
CHC103,NLHC LC-II-G6,Left,4
CHC104,Mech Dept Gallery 02,Right,19
CHC104,Mech Dept ED Hall Ext,Single,33
CHC206,NLHC LC-II-C8,Right,17
CHC206,NLHC LC-II-C9,Right,24
CHC206,NLHC LC-II-C10,Left,5
CHC207,NLHC LC-II-G16,Left,38
CHC207,NLHC LC-II-G16,Single,4
CHC207,NLHC LC-II-C1,Left,4
CHC208,NLHC LC-II-C2,Right,14
CHC208,NLHC LC-II-C3,Left,6
CHC208,NLHC LC-II-C4,Left,24
CHC208,NLHC LC-II-C5,Left,2
CHC209,NLHC LC-II-G5,Right,18
CHC209,NLHC LC-II-G5,Single,2
CHC209,NLHC LC-II-G6,Left,25
CHC210,LC-I-C2,Right,45
CHC211,NLHC LC-II-G9,Right,46
CHC306,NLHC LC-II-G15,Right,5
CHC306,NLHC LC-II-G16,Right,42
CHC307,NLHC LC-II-C3,Right,24
CHC307,NLHC LC-II-C4,Right,24
CHC307,NLHC LC-II-C5,Right,1
CHC308,NLHC LC-II-G15,Right,7
CHC308,NLHC LC-II-G16,Right,40
CHC309,NLHC LC-II-G12,Right,47
CHC402,LC-I-C4,Right,48
CHC402,LC-I-C5,Right,2
CHC507,NLHC LC-II-G3,Right,11
CHC508,PET2,Left,12
CHC509,NLHC LC-II-G7,Right,8
CHC510,LC-I-C5,Left,8
CHC511,Mech Dept ED Hall Ext,Single,8
CHC512,NLHC LC-II-C13,Right,5
CHC512,NLHC LC-II-C14,Left,3
CHC514,PET2,Right,1
CHC514,PET3,Left,19
CHC515,LC-I-C5,Left,20
CHC518,NLHC LC-II-G7,Right,2
CHC595,NLHC LC-II-G16,Right,8
CHC596,NLHC LC-II-C14,Right,14
CHC598,NLHC LC-II-G14,Right,3
CHC598,NLHC LC-II-G15,Right,21
CHC599,NLHC LC-II-C6,Right,24
CHC599,NLHC LC-II-C7,Left,7
CHC599,NLHC LC-II-C8,Left,8
CHD402,NLHC LC-II-C12,Right,24
CHD402,NLHC LC-II-C13,Right,24
CHD402,NLHC LC-II-C14,Right,2
CHD403,NLHC LC-II-G4,Right,48
CHD403,NLHC LC-II-G5,Left,27
CHD403,NLHC LC-II-G5,Single,4
CHD403,NLHC LC-II-G6,Left,31
CHD404,NLHC LC-II-G8,Right,48
CHD404,NLHC LC-II-G9,Right,13
CHD417,NLHC LC-II-G3,Right,48
CHD417,NLHC LC-II-G4,Left,1
CHD418,NLHC LC-II-G1,Right,28
CHD503,LC-I-C5,Left,7
CHD503,LC-I-C5,Single,2
CHD503,PET1,Left,8
CHE202,NLHC LC-II-C14,Right,18
CHE202,LC-I-C1,Left,30
CHO301,NLHC LC-II-G12,Left,22
CHO301,NLHC LC-II-G12,Single,4
CHO301,NLHC LC-II-G13,Left,48
CHO301,NLHC LC-II-G13,Single,4
CHO301,NLHC LC-II-G14,Left,28
CSC103,Mech Dept Gallery 01,Left,19
CSC103,Mech Dept Gallery 02,Left,48
CSC103,Mech Dept ED Hall Ext,Single,70
CSC104,PET1,Right,48
CSC104,PET1,Single,3
CSC104,PET2,Left,48
CSC104,PET2,Single,3
CSC104,PET3,Left,35
CSC206,NLHC LC-II-G10,Right,48
CSC206,NLHC LC-II-G11,Left,30
CSC206,NLHC LC-II-G11,Single,4
CSC206,NLHC LC-II-G12,Left,48
CSC206,NLHC LC-II-G12,Single,4
CSC206,NLHC LC-II-G13,Left,28
CSC207,NLHC LC-II-G15,Right,48
CSC207,NLHC LC-II-G16,Left,37
CSC207,NLHC LC-II-G16,Single,4
CSC207,NLHC LC-II-C1,Left,24
CSC207,NLHC LC-II-C2,Left,24
CSC207,NLHC LC-II-C3,Left,18
CSC208,NLHC LC-II-G12,Right,1
CSC208,NLHC LC-II-G13,Right,48
CSC208,NLHC LC-II-G14,Right,48
CSC208,NLHC LC-II-G15,Left,32
CSC208,NLHC LC-II-G15,Single,4
CSC208,NLHC LC-II-G16,Left,28
CSC209,NLHC LC-II-G8,Left,6
CSC209,NLHC LC-II-G8,Single,4
CSC209,NLHC LC-II-G9,Left,48
CSC209,NLHC LC-II-G9,Single,4
CSC209,NLHC LC-II-G10,Left,48
CSC209,NLHC LC-II-G10,Single,4
CSC209,NLHC LC-II-G11,Left,48
CSC209,NLHC LC-II-G11,Single,4
CSC209,NLHC LC-II-G12,Left,18
CSC210,NLHC LC-II-C6,Right,24
CSC210,NLHC LC-II-C7,Left,16
CSC210,NLHC LC-II-C8,Left,24
CSC210,NLHC LC-II-C9,Left,24
CSC210,NLHC LC-II-C10,Left,24
CSC210,NLHC LC-II-C11,Left,24
CSC210,NLHC LC-II-C12,Left,24
CSC211,LC-I-C1,Right,11
CSC211,LC-I-C2,Left,22
CSC211,LC-I-C2,Single,2
CSC211,LC-I-C3,Left,48
CSC211,LC-I-C3,Single,2
CSC211,LC-I-C4,Left,48
CSC211,LC-I-C4,Single,2
CSC211,LC-I-C5,Left,29
CSC305,NLHC LC-II-G14,Right,46
CSC305,NLHC LC-II-G15,Left,42
CSC305,NLHC LC-II-G15,Single,4
CSC305,NLHC LC-II-G16,Left,48
CSC305,NLHC LC-II-G16,Single,4
CSC305,NLHC LC-II-C1,Left,20
CSC306,NLHC LC-II-G12,Left,10
CSC306,NLHC LC-II-G12,Single,4
CSC306,NLHC LC-II-G13,Left,48
CSC306,NLHC LC-II-G13,Single,4
CSC306,NLHC LC-II-G14,Left,48
CSC306,NLHC LC-II-G14,Single,4
CSC306,NLHC LC-II-G15,Left,43
CSC307,NLHC LC-II-G14,Right,48
CSC307,NLHC LC-II-G15,Left,26
CSC307,NLHC LC-II-G15,Single,4
CSC307,NLHC LC-II-G16,Left,48
CSC307,NLHC LC-II-G16,Single,4
CSC307,NLHC LC-II-C1,Left,22
CSC308,NLHC LC-II-G11,Right,9
CSC308,NLHC LC-II-G12,Left,17
CSC308,NLHC LC-II-G12,Single,4
CSC308,NLHC LC-II-G13,Left,48
CSC308,NLHC LC-II-G13,Single,4
CSC308,NLHC LC-II-G14,Left,48
CSC308,NLHC LC-II-G14,Single,4
CSC308,NLHC LC-II-G15,Left,16
CSC402,LC-I-C1,Right,48
CSC402,LC-I-C2,Right,48
CSC402,LC-I-C3,Left,43
CSC402,LC-I-C3,Single,2
CSC402,LC-I-C4,Left,24
CSC502,PET1,Right,4
CSC503,PET3,Right,1
CSC507,LC-I-C5,Left,3
CSC507,LC-I-C5,Single,2
CSC507,PET1,Left,48
CSC507,PET1,Single,3
CSC507,PET2,Left,9
CSC508,NLHC LC-II-G4,Right,23
CSC508,NLHC LC-II-G4,Single,4
CSC508,NLHC LC-II-G5,Left,28
CSC509,LC-I-C4,Right,35
CSC509,LC-I-C5,Left,15
CSC510,PET2,Right,44
CSC511,NLHC LC-II-G14,Right,9
CSC511,NLHC LC-II-G15,Left,35
CSC512,NLHC LC-II-G7,Right,12
CSC512,NLHC LC-II-G8,Left,32
CSC515,PET2,Right,3
CSC515,PET3,Right,18
CSC516,NLHC LC-II-G7,Right,5
CSC516,NLHC LC-II-G8,Right,20
CSC595,NLHC LC-II-C8,Right,24
CSC595,NLHC LC-II-C9,Right,24
